book_name,author,category,book_img,online_link,book_description
The Complete Sherlock Holmes,Arthur Conan Doyle,Story,8351939,TheCompleteSherlockHolmesIllustrated/page/n1/mode/2up,"The Complete Sherlock Holmes is a collection of twelve short stories by Arthur Conan Doyle, first published on 14 October 1892. It contains the earliest short stories featuring the consulting detective Sherlock Holmes, which had been published in twelve monthly issues of The Strand Magazine from July 1891 to June 1892. The stories are collected in the same sequence, which is not supported by any fictional chronology.The only characters common to all twelve are Holmes and Dr. Watson and all are related in first-person narrative from Watson's point of view."
Heidi,Johanna Spyri,Story,8236370,heidi00spyr,"A Swiss orphan is heartbroken when she must leave her beloved grandfather and their happy home in the mountains, to go to school and to care for an invalid girl in the city."
Venus and Adonis,William Shakespeare,Art,9214113,venusadonisfirst00shakuoft,"Adonis is a youth of unsurpassed beauty. A hunter.  The goddess Venus, sees him and falls madly in love with him.  Venus''s love becomes boundless and without limit and Adonis rejects her even though she is a beautiful goddess and the goddess of love. And thereby hangs a tale. The story is told through the lamentations of Venus for Adonis''s rejection of her love."
Max Ernst,Max Ernst,Art,7879121,maxer00erns,"Max Ernst: Life and Work draws on an unprecedented collection of source material, much of it published here for the first time, to present a compelling portrait of the artist''s life and an intellectual portrait of an entire period. These letters and notes by friends and contemporaries provide insight into the reception of his oeuvre, illustrate Ernst''s own texts and shed light on his biography"
The Lost World, Arthur Conan Doyle,Science Fiction,8231444,lostworldbeingac00doylrich,"Journalist Ed Malone is looking for an adventure, and that''s exactly what he finds when he meets the eccentric Professor Challenger - an adventure that leads Malone and his three companions deep into the Amazon jungle, to a lost world where dinosaurs roam free."
The Time Machine,Herbert George Wells,Science Fiction,8231888,timemachineinven00well,"The Time Traveller, a dreamer obsessed with traveling through time, builds himself a time machine and, much to his surprise, travels over 800,000 years into the future. He lands in the year 802701: the world has been transformed by a society living in apparent harmony and bliss, but as the Traveler stays in the future he discovers a hidden barbaric and depraved subterranean class"
At The Earth's Core,Edgar Rice Burroughs,Science Fiction,9317372,atearthscore00burr,"Dr. Abner Perry has invented a high-calibration digging machine affectionately called ''The Iron Mole''. While testing his invention with his financial backer and former student David Innes, the machine malfunctions and the pair end up burrowing deep into the earth to emerge in Pellucidar, a lush underground cavern filled with giant prehistoric creatures. While fleeing one such creature, Dr. Perry and David are captured by strange inhuman soldiers, called Sagoths, and placed with other human slaves, where they meet Ghak and the beautiful Princess Dia."
A Princess of Mars,Edgar Rice Burroughs,Science Fiction,7214202,princessofmars00burriala,"I am a very old man,how old I do not know. Possibly I am a hundred, possibly more; but I cannot tell because I have never aged as other men, nor do I remember any childhood. So far as I can recollect I have always been a man, a man of about thirty. I appear today as I did forty years and more ago, and yet I feel that I cannot go on living forever; that some day I shall die the real death from which there is no resurrection. From Adventures of John Carter in Mars  from the author of the Tarzan series."
The First Men in The Moon,Herbert George Wells,Science Fiction,9043083,firstmeninmoo00well,"When penniless businessman Mr Bedford retreats to the Kent coast to write a play, he meets by chance the brilliant Dr Cavor, an absent-minded scientist on the brink of developing a material that blocks gravity. Cavor soon succeeds in his experiments, only to tell a stunned Bedford the invention makes possible one of the oldest dreams of humanity: a journey to the moon."
The War of the Worlds,Herbert George Wells,Science Fiction,8231837,warofworlds1898well,"The ultimate science fiction classic: for more than one hundred years, this compelling tale of the Martian invasion of Earth has enthralled readers with a combination of imagination and incisive commentary on the imbalance of power that continues to be relevant today. The style is revolutionary for its era, employing a sophisticated first and third person account of the events which is both personal and focused on the holistic downfall of Earth''s society."
